id,business_date,pos_item_name,canonical_name,portions_sold,gross_sales,net_sales,source_table,menu_group,imported_at,metadata
ddaac7a7,2026-07-06,,,262,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
57774654,2026-07-06,Glass,Glass,29,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
b0220335,2026-07-06,No Glass,No Glass,16,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
d39d64bf,2026-07-06,Goodnight,Goodnight,14,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
70edfe46,2026-07-06,Add chicken,Add chicken,13,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
750daf01,2026-07-06,Fired at 6:24 PM,Fired at 6:24 PM,9,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
a8d73dfd,2026-07-06,Caesar,Caesar,8,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
395aca1c,2026-07-06,Medium Rare,Medium Rare,7,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
30acdfc4,2026-07-06,citronette,citronette,6,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
7088e0fa,2026-07-06,Fired at 6:42 PM,Fired at 6:42 PM,5,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
f1869d47,2026-07-06,Daily risotto,Daily risotto,5,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
454f060f,2026-07-06,Dbl,Dbl,5,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
ab283351,2026-07-06,Berry Coulis,Berry Coulis,5,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
953c0086,2026-07-06,v Kettle One,v Kettle One,4,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
a07e0f47,2026-07-06,Fired at 5:36 PM,Fired at 5:36 PM,4,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
11a7ec3e,2026-07-06,Beef,Beef,4,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
54201fa1,2026-07-06,Fired at 6:56 PM,Fired at 6:56 PM,4,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
d0e28cd7,2026-07-06,Asparagus,Asparagus,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
8765edb3,2026-07-06,Fired at 12:16 PM,Fired at 12:16 PM,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
36ed3dbb,2026-07-06,TO GO,TO GO,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
1dcde7f4,2026-07-06,Ranch,Ranch,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
c1a479f1,2026-07-06,Tonic,Tonic,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
60a8b73c,2026-07-06,Balsamic,Balsamic,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
14f21556,2026-07-06,V Tito's,V Tito's,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
ee96f40b,2026-07-06,Room temperature,Room temperature,3,,,pos_modifiers,,2026-07-07 14:51:15.622468+00,"{""is_modifier"":true}"
4eaa5d14,2026-07-06,Wheel Pasta,Wheel Pasta,10,455,455,pos_sales_by_item,Pasta,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Pasta"",""sales_category"":""Food""}"
7eb03474,2026-07-06,Open Food,Open Food,10,265,265,pos_sales_by_item,Sides,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Sides"",""sales_category"":""Food""}"
8c88a965,2026-07-06,Fried Calamari,Fried Calamari,9,162,162,pos_sales_by_item,Antipasti/appetizer,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Antipasti/appetizer"",""sales_category"":""Food""}"
3c930277,2026-07-06,Meatball Appetizer,Meatball Appetizer,9,144,144,pos_sales_by_item,Antipasti/appetizer,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Antipasti/appetizer"",""sales_category"":""Food""}"
5be05ea5,2026-07-06,Lobster Fettucine,Lobster Fettucine,8,282,282,pos_sales_by_item,Pasta,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Pasta"",""sales_category"":""Food""}"
bb04a2ac,2026-07-06,Beef Ravioli,Beef Ravioli,8,240,240,pos_sales_by_item,Pasta,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Pasta"",""sales_category"":""Food""}"
023b72f4,2026-07-06,Mini Caesar Salad,Mini Caesar Salad,8,96,96,pos_sales_by_item,Insalate/salad,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Insalate/salad"",""sales_category"":""Food""}"
1808ccd3,2026-07-06,Risotto Mushrooms And Steak,Risotto Mushrooms And Steak,7,245,245,pos_sales_by_item,Risotto,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Risotto"",""sales_category"":""Food""}"
3f949fbe,2026-07-06,Timberland Maccheroni,Timberland Maccheroni,6,177,177,pos_sales_by_item,Pasta,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Pasta"",""sales_category"":""Food""}"
39888616,2026-07-06,Pere E Pecorino Salad,Pere E Pecorino Salad,6,96,96,pos_sales_by_item,Insalate/salad,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Insalate/salad"",""sales_category"":""Food""}"
53825e17,2026-07-06,Salmon Cakes,Salmon Cakes,6,102,102,pos_sales_by_item,Antipasti/appetizer,2026-07-07 14:51:15.478665+00,"{""menu_group"":""Antipasti/appetizer"",""sales_category"":""Food""}"
ARCHIVE_NOTE,ARCHIVE,[146 rows archived - see DB query result for full dataset],,0,,,ARCHIVE_METADATA,,2026-07-20,"{""total_rows"":146,""source_tables"":{""pos_modifiers"":96,""pos_sales_by_item"":50},""business_dates"":[""2026-07-06""],""archived_on"":""2026-07-20""}"
