id,name,suggested_qty,suggested_note,suggested_by,suggested_at
233,Arrabbiata sauce,,"green|Hai 8 Tomato cans in casa - arrivi a Mercoledi|You have 8 Tomato cans - good through Wednesday|Tienes 8 Tomato cans en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
261,Artichoke,,"green|Hai 29 pezzi in casa - arrivi a Mercoledi|You have 29 pieces - good through Wednesday|Tienes 29 piezas en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
398,Artichoke Sauce,660,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 660g|Check before prepping - uncertain data - may need 660g|Revisa antes de preparar - datos inciertos - puede necesitar 660g",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
415,Asparagus,,"green|Hai 450g in casa - arrivi a Lunedi|You have 450g - good through Monday|Tienes 450g en casa - llegas al Lunes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
324,Avocado,0.5,,bot-preplist-builder,2026-06-19 09:00:05.043+00
234,Bacon crumbs,719,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 719g|Check before prepping - uncertain data - may need 719g|Revisa antes de preparar - datos inciertos - puede necesitar 719g",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
392,Balsamic Dressing,2000,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 2kg|Check before prepping - uncertain data - may need 2kg|Revisa antes de preparar - datos inciertos - puede necesitar 2kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
235,Basil flowers,1,"yellow|Chiuso oggi - controlla stock domani - possibile 1 pieces|Closed today - check stock tomorrow - possible need 1 pieces|Cerrado hoy - revisar stock manana - posible necesitar 1 piezas",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
400,Bechamel,1150,"red|Prepara oggi · 1.1kg · stock finito|Prep today · 1.1kg · out of stock|Prepara hoy · 1.1kg · sin stock",bot-preplist-builder-v24,2026-07-01 21:50:42.388+00
327,Berry coulis,3475,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 3.5kg|Check before prepping - uncertain data - may need 3.5kg|Revisa antes de preparar - datos inciertos - puede necesitar 3.5kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
411,Big bruschetta,2,Mar 1.0 · Mer 1.0,bot-preplist-builder-v17,2026-06-28 09:00:05.753+00
316,Branzino tableside,4,"yellow|Stock basso - 4 pezzi - arrivi a Lunedi|Low stock - 4 pieces - good through Monday|Stock bajo - 4 piezas - llegas al Lunes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
285,Brisket,,"green|Stock ok - 4kg in casa|Stock ok - 4kg on hand|Stock ok - 4kg en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
331,Brownies,,"green|Stock ok - 1.1kg in casa|Stock ok - 1.1kg on hand|Stock ok - 1.1kg en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
332,Bruschetta,,"green|Hai 1.2kg in casa - arrivi a Mercoledi|You have 1.2kg - good through Wednesday|Tienes 1.2kg en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
472,Brussels Sprouts Par Cook,22500,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 15 x 5#|Check before prepping - uncertain data - may need 15 x 5#|Revisa antes de preparar - datos inciertos - puede necesitar 15 x 5#",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
265,Brussels Sprouts Ready to Sell,3200,"red|Prepara oggi - 3.2kg - hai 0|Prep today - 3.2kg - you have 0|Prepara hoy - 3.2kg - tienes 0",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
416,Butter Spinach,,"green|Hai 4.8kg in casa · arrivi a Venerdì|You have 4.8kg · good through Friday|Tienes 4.8kg en casa · llegas al Viernes",bot-preplist-builder-v22,2026-07-01 13:04:10.55+00
288,Cacio e pepe sauce,,"green|Hai 12kg in casa - arrivi a Giovedi|You have 12kg - good through Thursday|Tienes 12kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
266,Calamari,,"green|Hai 1 Bag in casa - arrivi a Venerdi|You have 1 Bag - good through Friday|Tienes 1 Bag en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
333,Cantaloupe,,"green|Hai 5.7kg in casa - arrivi a Venerdi|You have 5.7kg - good through Friday|Tienes 5.7kg en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
334,Caprese seasoning,,"green|Hai 1.5kg in casa - arrivi a Giovedi|You have 1.5kg - good through Thursday|Tienes 1.5kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
329,Check Blue Cheese,2,Mer 1.0porzioni · Ven 1.0porzioni,bot-preplist-builder-v17,2026-06-28 09:00:05.753+00
386,Cheese cake,,"green|Hai 45 pezzi in casa - arrivi a Martedi|You have 45 pieces - good through Tuesday|Tienes 45 piezas en casa - llegas al Martes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
452,Chicken Parmesan,13,"red|Prepara oggi - 13 pezzi - hai 0|Prep today - 13 pieces - you have 0|Prepara hoy - 13 piezas - tienes 0",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
387,Choco logo,1,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 1 pezzi|Check before prepping - uncertain data - may need 1 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 1 piezas",bot-preplist-builder-v44,2026-07-07 09:00:03.827+00
364,Chop Romaine,2000,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 2 x 12/3 CT|Check before prepping - uncertain data - may need 2 x 12/3 CT|Revisa antes de preparar - datos inciertos - puede necesitar 2 x 12/3 CT",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
337,Chopped dark choc,888,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 888g|Check before prepping - uncertain data - may need 888g|Revisa antes de preparar - datos inciertos - puede necesitar 888g",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
338,Chopped white choc,1,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 1g|Check before prepping - uncertain data - may need 1g|Revisa antes de preparar - datos inciertos - puede necesitar 1g",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
389,Citronnette,,"green|Hai 2kg in casa - arrivi a Domenica|You have 2kg - good through Sunday|Tienes 2kg en casa - llegas al Domingo",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
339,Cocoa powder,,"yellow|Chiuso oggi - controlla stock domani|Closed today - check stock tomorrow|Cerrado hoy - revisar stock manana",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
451,Confit tomatoes,,"green|Hai 2.2kg in casa - arrivi a Mercoledi|You have 2.2kg - good through Wednesday|Tienes 2.2kg en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
420,Cook Focaccia,,"green|Stock ok · 18g in casa|Stock ok · 18g on hand|Stock ok · 18g en casa",bot-preplist-builder-v24,2026-07-01 21:50:42.388+00
340,Creme brulee,32,"red|Prepara oggi - 32 pezzi - hai 1 pezzi|Prep today - 32 pieces - you have 1 pieces|Prepara hoy - 32 piezas - tienes 1 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
341,Cremino,,"green|Hai 49 pezzi in casa - arrivi a Domenica|You have 49 pieces - good through Sunday|Tienes 49 piezas en casa - llegas al Domingo",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
343,Crutons,12960,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 13kg|Check before prepping - uncertain data - may need 13kg|Revisa antes de preparar - datos inciertos - puede necesitar 13kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
291,Demi,,"green|Hai 10kg in casa - arrivi a Giovedi|You have 10kg - good through Thursday|Tienes 10kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
292,Diced butter,4540,"yellow|Stock basso - 10 x 36/1# - arrivi a Lunedi|Low stock - 10 x 36/1# - good through Monday|Stock bajo - 10 x 36/1# - llegas al Lunes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
473,Diced Grilled Chicken,,"green|Stock ok - 3.6kg in casa|Stock ok - 3.6kg on hand|Stock ok - 3.6kg en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
313,Fettuccine,9,,bot-preplist-builder-v5,2026-06-25 09:00:03.745+00
